Model,precision,recall,f1-score,support
DecisionTree,0.6249451032059727,0.6575785582255084,0.6408466561585229,2164.0
DecisionTree,0.5276923076923077,0.6337182448036951,0.5758656873032529,2165.0
DecisionTree,0.6920222634508348,0.5168591224018476,0.5917503966155473,2165.0
DecisionTree,0.602710194025254,0.602710194025254,0.602710194025254,0.602710194025254
DecisionTree,0.6148865581163717,0.6027186418103504,0.6028209133591077,6494.0
DecisionTree,0.6148850092181443,0.602710194025254,0.6028150578397361,6494.0
RandomForest,0.7579425113464447,0.9260628465804066,0.8336106489184693,2164.0
RandomForest,0.7831207065750736,0.7371824480369515,0.7594575303354747,2165.0
RandomForest,0.8548565121412803,0.715473441108545,0.7789791299974855,2165.0
RandomForest,0.792885740683708,0.792885740683708,0.792885740683708,0.792885740683708
RandomForest,0.7986399100209329,0.7929062452419678,0.7906824364171431,6494.0
RandomForest,0.7986461769440427,0.792885740683708,0.7906758259748117,6494.0
GradientBoosting,0.9894106813996317,0.9930683918669131,0.9912361623616236,2164.0
GradientBoosting,0.9870190078813167,0.9833718244803695,0.985192040721888,2165.0
GradientBoosting,0.9907621247113164,0.9907621247113164,0.9907621247113164,2165.0
GradientBoosting,0.98906683092085,0.98906683092085,0.98906683092085,0.98906683092085
GradientBoosting,0.9890639379974216,0.989067447019533,0.989063442598276,6494.0
GradientBoosting,0.9890638846029955,0.98906683092085,0.9890631080248601,6494.0
SVM,0.4109367789570835,0.8230129390018485,0.5481686672822407,2164.0
SVM,0.4861111111111111,0.03233256351039261,0.060632308358596794,2165.0
SVM,0.5337301587301587,0.4969976905311778,0.5147093996651518,2165.0
SVM,0.45072374499538037,0.45072374499538037,0.45072374499538037,0.45072374499538037
SVM,0.4769260162661178,0.4507810643478063,0.3745034584353298,6494.0
SVM,0.47693617783638403,0.45072374499538037,0.37447671602559046,6494.0
LogisticRegression,0.5065398335315101,0.5905730129390019,0.5453381694047365,2164.0
LogisticRegression,0.4292109681029659,0.35427251732101617,0.3881578947368421,2165.0
LogisticRegression,0.5636446886446886,0.5685912240184757,0.5661071510692113,2165.0
LogisticRegression,0.5044656606097937,0.5044656606097937,0.5044656606097937,0.5044656606097937
LogisticRegression,0.49979849675972154,0.5044789180928313,0.4998677384035966,6494.0
LogisticRegression,0.4997974586727533,0.5044656606097937,0.49986073648936796,6494.0
